"C:\Program Files\Java\jdk-12.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\lib\idea_rt.jar=59074:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Keval\IdeaProjects\CollectionsProjectHomework\out\production\CollectionsProjectHomework com.company.CollectionsRunner
Part II:
Total words in War and Peace: 576150
Duration: 1109 millisecndonds
'angle' occured: 9
'angles' occured: 1
'angleterre' occured: 1
'angling' occured: 2
'angrier' occured: 3
'angrily' occured: 79
'angry' occured: 109
'anguish' occured: 1
'animal' occured: 34
'animals' occured: 17
'animate' occured: 1
'animated' occured: 63
'animatedly' occured: 1
'animating' occured: 1
'animation' occured: 29
'animosity' occured: 3
'aniska' occured: 3
'anisya' occured: 16
'ankle' occured: 1
'ankles' occured: 1
'anna' occured: 293
'annals' occured: 1
'anne' occured: 1
'annette' occured: 12
'annex' occured: 1
'annihilate' occured: 3
'annihilated' occured: 1
'annihilating' occured: 1
'anniversary' occured: 1
'announce' occured: 12
'announced' occured: 32
'announcement' occured: 6
'announcements' occured: 2
'announces' occured: 1
'announcing' occured: 6
'annoyance' occured: 12
'annoyed' occured: 6
'annoying' occured: 1
'anointed' occured: 1
'anonymous' occured: 4
'another' occured: 620
'ansicht' occured: 1
'answer' occured: 143
'answered' occured: 153
'answering' occured: 30
'answers' occured: 17
'ant' occured: 1
'antagonism' occured: 1
'antagonist' occured: 1
'antagonistic' occured: 1
'antagonists' occured: 2
'antecedents' occured: 1
'antechamber' occured: 5
'antechambers' occured: 1
'anteroom' occured: 35
'anterooms' occured: 1
'anti' occured: 1
'antichrist' occured: 5
'anticipate' occured: 2
'anticipated' occured: 5
'anticipating' occured: 1
'anticipation' occured: 3
'antidotes' occured: 1
'antinational' occured: 1
'antipathetic' occured: 1
'antipathies' occured: 1
'antipathy' occured: 7
'antique' occured: 4
'antiquity' occured: 1
'anton' occured: 3
'antonov' occured: 1
'antonovna' occured: 4
'ants' occured: 5
'anxieties' occured: 1
'anxiety' occured: 24
'anxious' occured: 39
'anxiously' occured: 13
'any' occured: 502
'anybody' occured: 16
'anyhow' occured: 8
'anymore' occured: 1
'anyone' occured: 192
